1015: 0x81566df
1017: 0x8156802
101: 0x8142be3
1020: 0x8156957
1024: 0x81569be
1025: 0x8157328
1028: 0x81573d7
103: 0x8142d57
1073: 0x81575c8
1134: 0x8159a55
1136: 0x8159b0f
1137: 0x8159b2c
1138: 0x8159b42
1139: 0x8159b74
1154: 0x815a0a3
1161: 0x815a24e
1167: 0x815ab78
1174: 0x815ac2b
1179: 0x815ae3f
1188: 0x815ae4e
1194: 0x815a83e
1198: 0x815a765
1199: 0x815baea
1202: 0x815bc90
1203: 0x815bb9f
1206: 0x815bc5e
1207: 0x815bcb3
1208: 0x815bca5
1209: 0x815bcea
1210: 0x815be94
1211: 0x815bec8
1218: 0x815c000
1219: 0x815c292
1220: 0x815c2f4
1221: 0x815c383
1223: 0x815c42e
1231: 0x815c63d
1234: 0x815c715
1235: 0x815c56b
1237: 0x815c76a
1240: 0x815c5f7
1249: 0x815cb9b
124: 0x8143482
1255: 0x815cc78
1258: 0x815ccd2
125: 0x81434a2
1260: 0x815cf4d
1261: 0x815d050
1262: 0x815d035
1263: 0x815d11c
1264: 0x815d09a
126: 0x81434c2
1277: 0x815d0c2
1278: 0x815d438
127: 0x81434e2
1282: 0x815d4a5
1283: 0x815d681
1285: 0x815d69a
128: 0x8143542
1295: 0x815d945
1296: 0x815daff
1298: 0x815db17
129: 0x8143565
1305: 0x815db68
130: 0x8143884
1310: 0x815dc38
1312: 0x815dcd8
1314: 0x815ddfb
131: 0x814397b
1322: 0x815df65
1323: 0x815e020
1324: 0x815dff6
1329: 0x815e127
1330: 0x815e0fd
1331: 0x815e15b
1332: 0x815e169
1333: 0x815e344
1335: 0x815e366
1336: 0x815e3ee
1340: 0x815e459
1343: 0x815e531
1344: 0x815e5bc
1350: 0x815e8a5
1351: 0x815e6e3
1352: 0x815e938
1354: 0x815e9b5
1355: 0x815e9ea
1357: 0x815ea22
1358: 0x815e9fb
1361: 0x815ebc7
1367: 0x815ec5a
1368: 0x815ecd1
1376: 0x815ee0c
1378: 0x815eaa4
1384: 0x815f2e5
1387: 0x815f37b
1389: 0x815f3c8
138: 0x8143e92
1391: 0x815f4cd
1392: 0x815f44c
1393: 0x815f3ed
1394: 0x815f51d
1395: 0x815f46d
1397: 0x815f52d
1398: 0x815f5b0
1399: 0x815f5a2
139: 0x8143ec2
1401: 0x815f5d8
1405: 0x815f63f
1408: 0x815f763
140: 0x8143ef6
1411: 0x815f7a5
141: 0x8143f26
142: 0x8143f56
1437: 0x815ffc7
1443: 0x8160068
1446: 0x816011f
1449: 0x8160196
144: 0x8143fb2
146: 0x8144004
147: 0x8144035
1486: 0x8160e68
148: 0x8144063
1490: 0x8160f90
1491: 0x8160f5a
1493: 0x816102d
1496: 0x81610e5
149: 0x81440a4
1500: 0x8161144
1502: 0x81611d2
1504: 0x8161233
1506: 0x8161356
1507: 0x816125d
1508: 0x81612ac
1509: 0x81613a8
150: 0x81440d4
1510: 0x81612cd
1512: 0x81613c2
1513: 0x816146d
1514: 0x816145f
151: 0x81440e5
1523: 0x816163a
1525: 0x8161662
155: 0x8144162
1568: 0x8162298
156: 0x8144182
1571: 0x816261c
1574: 0x816231c
157: 0x81441a2
1583: 0x81625fe
1584: 0x8162330
160: 0x8144242
161: 0x8144262
162: 0x8144281
163: 0x81442af
164: 0x81442c0
165: 0x81442e1
166: 0x814430f
167: 0x8144320
1689: 0x8164271
168: 0x8144345
1692: 0x81644f9
1694: 0x8164561
1695: 0x81645ed
1699: 0x8164bb6
169: 0x814448e
1702: 0x816432c
1703: 0x816440c
1706: 0x8164536
1707: 0x8164340
170: 0x81443f8
171: 0x81444b8
172: 0x81446e2
1734: 0x8164590
1735: 0x8164636
1736: 0x8164d2a
173: 0x814474e
1741: 0x8164e6f
1745: 0x8164faf
1746: 0x8164f92
1748: 0x816506a
174: 0x814485d
1753: 0x8165083
1754: 0x8164eb8
1758: 0x8165361
175: 0x81448ed
1762: 0x81652a2
1764: 0x81653f8
1765: 0x8165426
1767: 0x816545c
1768: 0x816547d
176: 0x8144801
1772: 0x81655a8
1776: 0x81656e8
1777: 0x8165678
1779: 0x8165718
1781: 0x8165838
1786: 0x816595f
1787: 0x8165a98
1790: 0x8165b04
1792: 0x8165e8c
1795: 0x8165ba3
1797: 0x8165c5e
1799: 0x8165e6c
181: 0x8144aa6
1834: 0x8166735
1836: 0x81667c5
1839: 0x816689a
1840: 0x81668d8
1841: 0x8166868
1842: 0x81668ba
1843: 0x81668fc
1845: 0x81668ca
1846: 0x8166a52
1847: 0x8166a44
184: 0x8144f49
185: 0x8144fe8
186: 0x814539a
1872: 0x8167018
1878: 0x816716d
1879: 0x8167318
1881: 0x816738f
1885: 0x8167481
1893: 0x81675f3
1909: 0x8167cd7
1912: 0x8167d2b
1917: 0x8167e9f
1919: 0x8167edc
191: 0x8145142
1922: 0x8167f76
1923: 0x8167fe5
1935: 0x81683f2
1936: 0x81685e7
1937: 0x81686ff
193: 0x81451fc
1943: 0x816883e
1947: 0x8168b2f
194: 0x81453c8
1953: 0x8168c6e
1957: 0x8168ee5
1959: 0x8168f2e
1961: 0x8168f68
1965: 0x8168fd5
196: 0x814541b
1970: 0x81690f4
1972: 0x816923f
1976: 0x8169017
1977: 0x816945f
1982: 0x816958b
1987: 0x8169694
1990: 0x816951a
1997: 0x8169840
